campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,new_roas,CTR,Conversion Rate
664981,Email Campaign,26/10/2024,New Users,Social Media,"1,002.00",705.00,63.00,"3,599.79","4,311.79",4.00,1.20,70.36%,8.94%
685200,Weekend Special,23/08/2024,New Users,Social Media,"6,738.00",567.00,18.00,"2,683.84","2,645.40",4.00,0.99,8.41%,3.17%
959105,Flash Sale,04/03/2024,All,Email,"5,885.00",919.00,24.00,"1,604.55","9,654.92",4.00,6.02,15.62%,2.61%
952072,New User Discount,07/02/2024,Premium,App,"6,326.00",329.00,20.00,"2,477.25","4,434.61",4.00,1.79,5.20%,6.08%
566146,New User Discount,12/07/2023,All,Social Media,"6,607.00",924.00,11.00,"4,683.64","6,103.83",4.00,1.30,13.99%,1.19%
946149,Festival Offer,30/03/2023,New Users,Email,"4,391.00",498.00,41.00,"1,318.85","2,947.82",4.00,2.24,11.34%,8.23%
719685,Email Campaign,12/10/2024,All,SMS,"1,248.00",502.00,17.00,"2,981.17","5,981.93",3.99,2.01,40.22%,3.39%
243,Referral Program,25/08/2024,Premium,Email,"2,480.00",639.00,53.00,"3,641.18","5,970.43",3.99,1.64,25.77%,8.29%
234616,Weekend Special,19/07/2024,New Users,Email,"3,551.00",739.00,59.00,"4,340.54","5,844.89",3.99,1.35,20.81%,7.98%
314278,Festival Offer,16/07/2024,Inactive,SMS,"9,082.00",730.00,71.00,"1,612.43","7,169.62",3.99,4.45,8.04%,9.73%
147381,Weekend Special,25/06/2024,New Users,Email,"8,409.00",376.00,72.00,"3,483.01","6,200.81",3.99,1.78,4.47%,19.15%
941075,Festival Offer,14/06/2024,Inactive,Social Media,"7,447.00",134.00,88.00,"4,941.09","4,202.73",3.99,0.85,1.80%,65.67%
420800,Membership Drive,11/06/2024,New Users,Email,"6,732.00",959.00,29.00,"4,145.05","6,497.65",3.99,1.57,14.25%,3.02%
195122,Flash Sale,04/06/2024,All,SMS,"4,763.00",343.00,68.00,"2,407.11","3,641.06",3.99,1.51,7.20%,19.83%
981273,New User Discount,10/05/2024,Premium,App,"7,820.00",685.00,12.00,"1,833.50","7,603.79",3.99,4.15,8.76%,1.75%
440723,Membership Drive,29/04/2024,New Users,SMS,"9,351.00",752.00,69.00,"3,405.99","4,121.16",3.99,1.21,8.04%,9.18%
731872,Membership Drive,08/04/2024,New Users,Email,"4,530.00",246.00,54.00,"1,544.38","8,379.51",3.99,5.43,5.43%,21.95%
137535,App Push Notification,07/04/2024,Premium,App,"3,385.00",493.00,27.00,"4,849.52","3,742.89",3.99,0.77,14.56%,5.48%
139591,Weekend Special,01/04/2024,Premium,SMS,"2,424.00",211.00,55.00,"3,123.32","4,895.99",3.99,1.57,8.70%,26.07%
712731,Festival Offer,10/03/2024,New Users,SMS,"2,605.00",102.00,44.00,"4,049.95","5,521.79",3.99,1.36,3.92%,43.14%
651159,Category Promotion,30/01/2024,Premium,SMS,"9,218.00",592.00,39.00,"1,991.13","3,485.67",3.99,1.75,6.42%,6.59%
524236,Weekend Special,19/12/2023,Premium,Social Media,"5,709.00",373.00,89.00,"1,467.33","4,489.21",3.99,3.06,6.53%,23.86%
84920,Festival Offer,16/12/2023,New Users,App,"7,644.00",243.00,27.00,"3,971.53","3,344.21",3.99,0.84,3.18%,11.11%
826309,Membership Drive,07/10/2023,Premium,App,"1,659.00",201.00,15.00,"2,547.09","6,180.29",3.99,2.43,12.12%,7.46%
701161,Category Promotion,19/09/2023,New Users,Social Media,"7,977.00",142.00,11.00,"3,171.63","2,419.79",3.99,0.76,1.78%,7.75%
238629,Membership Drive,04/09/2023,Premium,Social Media,"6,571.00",985.00,76.00,"2,533.96","2,538.48",3.99,1.00,14.99%,7.72%
55142,App Push Notification,31/08/2023,Inactive,Social Media,"1,386.00",117.00,55.00,"3,348.97","5,297.35",3.99,1.58,8.44%,47.01%
631938,Festival Offer,25/08/2023,New Users,Social Media,"8,811.00",429.00,24.00,"1,351.88","8,169.17",3.99,6.04,4.87%,5.59%
18837,Category Promotion,04/08/2023,Inactive,Social Media,"2,576.00",489.00,45.00,"2,551.26","8,846.30",3.99,3.47,18.98%,9.20%
859693,App Push Notification,15/04/2023,Inactive,Social Media,"4,696.00",413.00,97.00,"4,479.25","8,137.79",3.99,1.82,8.79%,23.49%
134796,Category Promotion,30/08/2024,All,App,"2,565.00",110.00,26.00,"4,959.67","7,866.39",3.98,1.59,4.29%,23.64%
